fid,DN,Area
628,"1",2354.287
629,"1",3279.187
630,"1",84.082
631,"1",84.082
632,"1",1345.311
633,"1",168.164
634,"1",1345.312
635,"1",84.082
636,"1",84.082
637,"1",84.082
638,"1",84.082
639,"1",3074032.089
640,"1",336.329
641,"1",168.165
642,"1",84.083
643,"1",84.083
644,"1",1261.244
645,"1",3111.063
646,"1",252.249
647,"1",1849.826
648,"1",2606.575
649,"1",588.581
650,"1",84.083
651,"1",84.083
652,"1",11687.553
653,"1",84.083
654,"1",1597.583
655,"1",84.083
656,"1",168.167
657,"1",274612.318
658,"1",84.083
659,"1",85428.033
660,"1",3615.587
661,"1",252.250
662,"1",84.083
663,"1",336.335
664,"1",12192.141
665,"1",84.084
666,"1",84.084
667,"1",84.084
668,"1",84.084
669,"1",84.084
670,"1",84.084
671,"1",84.084
672,"1",4372.377
673,"1",504.506
674,"1",84.084
675,"1",336.337
676,"1",84.084
677,"1",4204.221
678,"1",84.085
679,"1",84.085
680,"1",252.254
681,"1",84.085
682,"1",2858.881
683,"1",336.339
684,"1",84.085
685,"1",84.085
686,"1",84.085
687,"1",336.340
688,"1",2102.126
689,"1",84.085
690,"1",84.085
691,"1",84.085
692,"1",84.085
693,"1",10678.838
694,"1",336.342
695,"1",1597.631
696,"1",552018.794
697,"1",84.086
698,"1",84.086
699,"1",588.604
700,"1",21021.568
701,"1",84.087
702,"1",108471.106
703,"1",642243.390
704,"1",336.347
705,"1",20853.420
706,"1",84.087
707,"1",138070.147
708,"1",33298.373
709,"1",840.872
710,"1",84.087
711,"1",84.087
712,"1",84.087
713,"1",756.786
714,"1",1009.048
715,"1",84.087
716,"1",84.087
717,"1",84.087
718,"1",84.087
719,"1",84.088
720,"1",252.263
721,"1",84.088
722,"1",588.613
723,"1",4036.207
724,"1",4120.296
725,"1",336.351
726,"1",336.351
727,"1",336.352
728,"1",252.264
729,"1",84.088
730,"1",80387.560
731,"1",151525.272
732,"1",84.088
733,"1",105446.276
734,"1",1261.325
735,"1",1177.238
736,"1",49696.074
737,"1",84.088
738,"1",30019.528
739,"1",3447.635
740,"1",588.620
741,"1",5381.696
742,"1",84.089
743,"1",336.355
744,"1",84.089
745,"1",53564.422
746,"1",1849.959
747,"1",252.267
748,"1",588.625
749,"1",252.268
750,"1",672.715
751,"1",336.357
752,"1",6222.606
753,"1",21274.591
754,"1",26992.629
755,"1",3699.943
756,"1",84.090
757,"1",4540.847
758,"1",84.090
759,"1",84.090
760,"1",84.090
761,"1",84.090
762,"1",168.180
763,"1",15808.936
764,"1",336.361
765,"1",84.090
766,"1",8975169.058
767,"1",33720.106
768,"1",12193.083
769,"1",84.091
770,"1",7231.800
771,"1",588.635
772,"1",1429.541
773,"1",84.091
774,"1",588.635
775,"1",1345.453
776,"1",26236.274
777,"1",336.364
778,"1",84.091
779,"1",84.091
780,"1",84.091
781,"1",225026.677
782,"1",84.091
783,"1",336.366
784,"1",4372.752
785,"1",252.275
786,"1",15472.837
787,"1",1681.832
788,"1",168.183
789,"1",1597.741
790,"1",336.367
791,"1",33972.962
792,"1",84.092
793,"1",655734.228
794,"1",336.367
795,"1",84.092
796,"1",84.092
797,"1",84.092
798,"1",19341.088
799,"1",36663.975
800,"1",1597.745
801,"1",21779.769
802,"1",336.368
803,"1",7484.164
804,"1",252.276
805,"1",84.092
806,"1",13454.730
807,"1",1597.750
808,"1",84.092
809,"1",84.092
810,"1",336.369
811,"1",1513.662
812,"1",336.369
813,"1",15641.167
814,"1",336.370
815,"1",336.370
816,"1",168.185
817,"1",84.093
818,"1",168.185
819,"1",4793.284
820,"1",252.278
821,"1",84.093
822,"1",2354.603
823,"1",70637.726
824,"1",336.372
825,"1",84.093
826,"1",84.093
827,"1",84.093
828,"1",84.093
829,"1",84.093
830,"1",84.093
831,"1",8745.699
832,"1",336.374
833,"1",672.748
834,"1",336.374
835,"1",84.094
836,"1",336.376
837,"1",420.470
838,"1",84.094
839,"1",84.094
840,"1",336.377
841,"1",3363.777
842,"1",925.037
843,"1",84.094
844,"1",420.472
845,"1",840.945
846,"1",336.378
847,"1",588.661
848,"1",1009.134
849,"1",84.095
850,"1",336.378
851,"1",84.095
852,"1",840.946
853,"1",168.189
854,"1",84.095
855,"1",252.285
856,"1",4625.219
857,"1",336.380
858,"1",84.095
859,"1",252.285
860,"1",168.190
861,"1",84.095
862,"1",84.095
863,"1",336.382
864,"1",84.096
865,"1",588.672
866,"1",336.384
867,"1",84.096
868,"1",336.385
869,"1",336.385
870,"1",84.096
871,"1",252.289
872,"1",84.096
873,"1",1093.255
874,"1",84.096
875,"1",336.386
876,"1",84.097
877,"1",84.097
878,"1",84.097
879,"1",2354.710
880,"1",84.097
881,"1",3363.870
882,"1",84.097
883,"1",16819.339
884,"1",252.291
885,"1",336.388
886,"1",4877.615
887,"1",336.388
888,"1",336.388
889,"1",84.097
890,"1",588.679
891,"1",336.389
892,"1",2859.304
893,"1",588.681
894,"1",84.097
895,"1",84.097
896,"1",588.682
897,"1",336.390
898,"1",84.098
899,"1",10007.616
900,"1",84.098
901,"1",84.098
902,"1",336.391
903,"1",42721.558
904,"1",4625.383
905,"1",168.196
906,"1",84.098
907,"1",168.196
908,"1",168.196
909,"1",5130.007
910,"1",588.690
911,"1",84.099
912,"1",84.099
913,"1",84.099
914,"1",84.099
915,"1",588.693
916,"1",3111.662
917,"1",336.396
918,"1",84.099
919,"1",3868.579
920,"1",21781.750
921,"1",588.697
922,"1",84.100
923,"1",84.100
924,"1",84.100
925,"1",84.100
926,"1",6643.895
927,"1",336.400
928,"1",1009.203
929,"1",336.401
930,"1",84.100
931,"1",252.301
932,"1",252.301
933,"1",420.502
934,"1",84.101
935,"1",1345.609
936,"1",13708.382
937,"1",168.201
938,"1",168.202
939,"1",84.101
940,"1",108657.848
941,"1",20520.571
942,"1",336.404
943,"1",336.404
944,"1",252.303
945,"1",504.607
946,"1",23043.694
947,"1",84.101
948,"1",84.101
949,"1",252.304
950,"1",2018.433
951,"1",11437.780
952,"1",2354.842
953,"1",252.304
954,"1",203018.919
955,"1",1093.319
956,"1",336.407
957,"1",20688.981
958,"1",336.407
959,"1",39275.277
960,"1",84.102
961,"1",168.204
962,"1",336.408
963,"1",84.102
964,"1",2607.161
965,"1",1345.633
966,"1",9167.126
967,"1",588.716
968,"1",420.511
969,"1",336.409
970,"1",84.102
971,"1",4289.227
972,"1",84.102
973,"1",2102.564
974,"1",84.103
975,"1",84.103
976,"1",23044.102
977,"1",84.103
978,"1",1345.644
979,"1",336.411
980,"1",1597.955
981,"1",336.411
982,"1",2604569.751
983,"1",1682.058
984,"1",4962.072
985,"1",84.103
986,"1",84.103
987,"1",84.103
988,"1",1934.377
989,"1",1429.756
990,"1",588.723
991,"1",420.517
992,"1",252.310
993,"1",84.103
994,"1",17647389.920
995,"1",2354.897
996,"1",2270.794
997,"1",336.414
998,"1",84.104
999,"1",336.415
1000,"1",29856.710
1001,"1",841.037
1002,"1",45752.104
1003,"1",2859.522
1004,"1",24978.751
1005,"1",84.104
1006,"1",84.104
1007,"1",84.104
1008,"1",3952.887
1009,"1",252.312
1010,"1",84.104
1011,"1",2354.916
1012,"1",21278.327
1013,"1",7905.792
1014,"1",1850.292
1015,"1",841.042
1016,"1",168.209
1017,"1",16063.877
1018,"1",84.104
1019,"1",84.104
1020,"1",84.104
1021,"1",420.523
1022,"1",672.837
1023,"1",252.314
1024,"1",168.209
1025,"1",33052.967
1026,"1",84.105
1027,"1",756.945
1028,"1",50630.764
1029,"1",144155.163
1030,"1",12027.003
1031,"1",84.105
1032,"1",336.421
1033,"1",1429.788
1034,"1",1597.999
1035,"1",2354.949
1036,"1",3196.002
1037,"1",84.105
1038,"1",84.105
1039,"1",168.211
1040,"1",6392.009
1041,"1",2607.270
1042,"1",756.949
1043,"1",336.422
1044,"1",336.422
1045,"1",1598.007
1046,"1",1093.374
1047,"1",336.423
1048,"1",168.211
1049,"1",1513.904
1050,"1",58621.451
1051,"1",25147.509
1052,"1",84.106
1053,"1",841.058
1054,"1",168.212
1055,"1",336.424
1056,"1",84.106
1057,"1",51304.624
1058,"1",68546.110
1059,"1",62827.113
1060,"1",504.638
1061,"1",4037.099
1062,"1",336.425
1063,"1",252.319
1064,"1",84.107
1065,"1",84.107
1066,"1",3448.369
1067,"1",756.960
1068,"1",841.068
1069,"1",1934.456
1070,"1",336.427
1071,"1",1009.282
1072,"1",841.069
1073,"1",84.107
1074,"1",168.214
1075,"1",40118.972
1076,"1",17241.916
1077,"1",336.428
1078,"1",84.107
1079,"1",841.072
1080,"1",84.107
1081,"1",84.107
1082,"1",5971.611
1083,"1",164596.943
1084,"1",168.215
1085,"1",756.967
1086,"1",1850.365
1087,"1",841.075
1088,"1",925.184
1089,"1",5635.196
1090,"1",1850.369
1091,"1",6644.497
