fid,DN,Area,AreaHa
2530,"1",10602.007,1.060
2533,"1",53094.141,5.309
2554,"1",28103.733,2.810
2585,"1",10013.039,1.001
2586,"1",27009.923,2.701
2595,"1",128401.833,12.840
2609,"1",25579.436,2.558
2611,"1",13294.667,1.329
2612,"1",61929.393,6.193
2614,"1",3957352.263,395.735
2650,"1",65800.227,6.580
2678,"1",10097.265,1.010
2692,"1",36265.985,3.627
2710,"1",10265.565,1.027
2734,"1",114183.195,11.418
2735,"1",271277.810,27.128
2736,"1",177037.894,17.704
2737,"1",38874.439,3.887
2738,"1",27430.962,2.743
2766,"1",699653.511,69.965
2774,"1",206235.852,20.624
2775,"1",127141.328,12.714
2798,"1",145316.378,14.532
2799,"1",24401.881,2.440
2802,"1",49056.113,4.906
2823,"1",46868.404,4.687
2831,"1",148934.828,14.893
2870,"1",62350.940,6.235
2893,"1",1409900.318,140.990
2894,"1",338932.320,33.893
2931,"1",68073.214,6.807
2937,"1",17838.750,1.784
2938,"1",13799.807,1.380
2939,"1",1933915.922,193.392
2968,"1",76235.399,7.624
2970,"1",36434.946,3.643
2971,"1",10097.442,1.010
2972,"1",10938.919,1.094
2974,"1",3402224.436,340.222
3029,"1",48972.694,4.897
3034,"1",16576.682,1.658
3055,"1",57050.733,5.705
3086,"1",389167.915,38.917
3087,"1",13715.798,1.372
3088,"1",11864.582,1.186
3089,"1",58228.798,5.823
3116,"1",190335.830,19.034
3147,"1",64203.604,6.420
3157,"1",10602.459,1.060
3165,"1",11023.210,1.102
3167,"1",17923.209,1.792
3190,"1",11191.550,1.119
3191,"1",10013.468,1.001
3195,"1",13631.767,1.363
3196,"1",19942.764,1.994
3199,"1",109895.102,10.990
3206,"1",38623.254,3.862
3221,"1",31807.477,3.181
3222,"1",1524625.109,152.463
3224,"1",10434.222,1.043
3225,"1",27600.207,2.760
3251,"1",14389.150,1.439
3261,"1",152136.722,15.214
3270,"1",71104.247,7.110
3290,"1",120834.514,12.083
3291,"1",40558.967,4.056
3296,"1",13547.733,1.355
3309,"1",52760.425,5.276
3311,"1",947058.736,94.706
3324,"1",135561.556,13.556
3327,"1",60922.854,6.092
3329,"1",24823.575,2.482
3334,"1",22804.071,2.280
3335,"1",10266.031,1.027
3360,"1",18680.825,1.868
3361,"1",12790.502,1.279
3366,"1",101145.438,10.115
3393,"1",16997.903,1.700
3436,"1",100220.228,10.022
3454,"1",43420.624,4.342
3485,"1",22299.410,2.230
3494,"1",1612165.312,161.217
3504,"1",20532.312,2.053
3515,"1",27769.140,2.777
3519,"1",1547880.984,154.788
3520,"1",31892.422,3.189
3522,"1",37530.503,3.753
3542,"1",178562.335,17.856
3543,"1",14389.497,1.439
3558,"1",383462.062,38.346
3559,"1",137415.432,13.742
3560,"1",74387.482,7.439
3561,"1",63784.815,6.378
3586,"1",26338.726,2.634
3614,"1",367471.898,36.747
3615,"1",13295.664,1.330
3616,"1",30377.928,3.038
3636,"1",15651.870,1.565
3637,"1",29284.147,2.928
3658,"1",15567.735,1.557
3681,"1",16325.128,1.633
3683,"1",578439.693,57.844
3706,"1",151890.727,15.189
3725,"1",297133.601,29.713
3744,"1",12454.324,1.245
3747,"1",101653.575,10.165
3760,"1",35174.993,3.517
3763,"1",174275.246,17.428
